inference-1  | 2026-03-01 04:51:27,878 INFO 127.0.0.1 - - [01/Mar/2026 04:51:27] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:29,920 INFO 172.18.0.4 - - [01/Mar/2026 04:51:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:33,000 INFO 127.0.0.1 - - [01/Mar/2026 04:51:33] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:34,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:38,118 INFO 127.0.0.1 - - [01/Mar/2026 04:51:38] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:39,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:43,263 INFO 127.0.0.1 - - [01/Mar/2026 04:51:43] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:44,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:48,395 INFO 127.0.0.1 - - [01/Mar/2026 04:51:48] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:49,920 INFO 172.18.0.4 - - [01/Mar/2026 04:51:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:53,520 INFO 127.0.0.1 - - [01/Mar/2026 04:51:53] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:54,921 INFO 172.18.0.4 - - [01/Mar/2026 04:51:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:58,641 INFO 127.0.0.1 - - [01/Mar/2026 04:51:58] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:51:59,919 INFO 172.18.0.4 - - [01/Mar/2026 04:51:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:03,783 INFO 127.0.0.1 - - [01/Mar/2026 04:52:03] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:04,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:08,919 INFO 127.0.0.1 - - [01/Mar/2026 04:52:08] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:09,920 INFO 172.18.0.4 - - [01/Mar/2026 04:52:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:14,043 INFO 127.0.0.1 - - [01/Mar/2026 04:52:14] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:14,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:19,168 INFO 127.0.0.1 - - [01/Mar/2026 04:52:19] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:19,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:24,303 INFO 127.0.0.1 - - [01/Mar/2026 04:52:24] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:24,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:29,429 INFO 127.0.0.1 - - [01/Mar/2026 04:52:29] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:29,920 INFO 172.18.0.4 - - [01/Mar/2026 04:52:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:34,556 INFO 127.0.0.1 - - [01/Mar/2026 04:52:34] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:34,920 INFO 172.18.0.4 - - [01/Mar/2026 04:52:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:39,676 INFO 127.0.0.1 - - [01/Mar/2026 04:52:39] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:39,920 INFO 172.18.0.4 - - [01/Mar/2026 04:52:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:44,803 INFO 127.0.0.1 - - [01/Mar/2026 04:52:44] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:44,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:49,920 INFO 172.18.0.4 - - [01/Mar/2026 04:52:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:49,926 INFO 127.0.0.1 - - [01/Mar/2026 04:52:49] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:54,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:52:55,084 INFO 127.0.0.1 - - [01/Mar/2026 04:52:55] "GET /healthz HTTP/1.1" 200 -
